id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,emp_var_rate,cons_price_idx
0,56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,1,999,1.1,93.994
1,57,services,married,high.school,unknown,no,no,telephone,may,mon,149,1,999,1.1,93.994
2,37,services,married,high.school,no,yes,no,telephone,may,mon,226,1,999,1.1,93.994
3,40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,1,999,1.1,93.994
4,56,services,married,high.school,no,no,yes,telephone,may,mon,307,1,999,1.1,93.994
5,45,services,married,basic.9y,unknown,no,no,telephone,may,mon,198,1,999,1.1,93.994
6,59,admin.,married,professional.course,no,no,no,telephone,may,mon,139,1,999,1.1,93.994
7,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217,1,999,1.1,93.994
8,24,technician,single,professional.course,no,yes,no,telephone,may,mon,380,1,999,1.1,93.994
9,25,services,single,high.school,no,yes,no,telephone,may,mon,50,1,999,1.1,93.994
10,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55,1,999,1.1,93.994
11,25,services,single,high.school,no,yes,no,telephone,may,mon,222,1,999,1.1,93.994
12,29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,1,999,1.1,93.994
13,57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293,1,999,1.1,93.994
14,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146,1,999,1.1,93.994
15,54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,174,1,999,1.1,93.994
16,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312,1,999,1.1,93.994
17,46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,1,999,1.1,93.994
18,50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353,1,999,1.1,93.994
19,39,management,single,basic.9y,unknown,no,no,telephone,may,mon,195,1,999,1.1,93.994
20,30,unemployed,married,high.school,no,no,no,telephone,may,mon,38,1,999,1.1,93.994
21,55,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262,1,999,1.1,93.994
22,55,retired,single,high.school,no,yes,no,telephone,may,mon,342,1,999,1.1,93.994
23,41,technician,single,high.school,no,yes,no,telephone,may,mon,181,1,999,1.1,93.994
24,37,admin.,married,high.school,no,yes,no,telephone,may,mon,172,1,999,1.1,93.994
25,35,technician,married,university.degree,no,no,yes,telephone,may,mon,99,1,999,1.1,93.994
26,59,technician,married,unknown,no,yes,no,telephone,may,mon,93,1,999,1.1,93.994
27,39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233,1,999,1.1,93.994
28,54,technician,single,university.degree,unknown,no,no,telephone,may,mon,255,2,999,1.1,93.994
29,55,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,362,1,999,1.1,93.994
30,46,admin.,married,unknown,no,no,no,telephone,may,mon,348,1,999,1.1,93.994
31,59,technician,married,unknown,no,yes,no,telephone,may,mon,386,1,999,1.1,93.994
32,49,blue-collar,married,unknown,no,no,no,telephone,may,mon,73,1,999,1.1,93.994
33,54,management,married,basic.4y,unknown,yes,no,telephone,may,mon,230,1,999,1.1,93.994
34,54,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208,1,999,1.1,93.994
35,55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,1,999,1.1,93.994
36,34,services,married,high.school,no,no,no,telephone,may,mon,365,1,999,1.1,93.994
37,52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666,1,999,1.1,93.994
38,41,admin.,married,university.degree,no,yes,no,telephone,may,mon,577,1,999,1.1,93.994
39,56,technician,married,basic.4y,no,yes,no,telephone,may,mon,137,1,999,1.1,93.994
40,58,management,unknown,university.degree,no,yes,no,telephone,may,mon,366,1,999,1.1,93.994
41,32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314,1,999,1.1,93.994
42,38,admin.,single,professional.course,no,no,no,telephone,may,mon,160,1,999,1.1,93.994
43,57,admin.,married,university.degree,no,no,yes,telephone,may,mon,212,1,999,1.1,93.994
44,44,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,188,1,999,1.1,93.994
45,42,technician,single,professional.course,unknown,no,no,telephone,may,mon,22,1,999,1.1,93.994
