id,previous,poutcome,cons_conf_idx,euribor3m,nr_employed,y
0,0,nonexistent,-36.4,4.857,5191.0,no
1,0,nonexistent,-36.4,4.857,5191.0,no
2,0,nonexistent,-36.4,4.857,5191.0,no
3,0,nonexistent,-36.4,4.857,5191.0,no
4,0,nonexistent,-36.4,4.857,5191.0,no
5,0,nonexistent,-36.4,4.857,5191.0,no
6,0,nonexistent,-36.4,4.857,5191.0,no
7,0,nonexistent,-36.4,4.857,5191.0,no
8,0,nonexistent,-36.4,4.857,5191.0,no
9,0,nonexistent,-36.4,4.857,5191.0,no
10,0,nonexistent,-36.4,4.857,5191.0,no
11,0,nonexistent,-36.4,4.857,5191.0,no
12,0,nonexistent,-36.4,4.857,5191.0,no
13,0,nonexistent,-36.4,4.857,5191.0,no
14,0,nonexistent,-36.4,4.857,5191.0,no
15,0,nonexistent,-36.4,4.857,5191.0,no
16,0,nonexistent,-36.4,4.857,5191.0,no
17,0,nonexistent,-36.4,4.857,5191.0,no
18,0,nonexistent,-36.4,4.857,5191.0,no
19,0,nonexistent,-36.4,4.857,5191.0,no
20,0,nonexistent,-36.4,4.857,5191.0,no
21,0,nonexistent,-36.4,4.857,5191.0,no
22,0,nonexistent,-36.4,4.857,5191.0,no
23,0,nonexistent,-36.4,4.857,5191.0,no
24,0,nonexistent,-36.4,4.857,5191.0,no
25,0,nonexistent,-36.4,4.857,5191.0,no
26,0,nonexistent,-36.4,4.857,5191.0,no
27,0,nonexistent,-36.4,4.857,5191.0,no
28,0,nonexistent,-36.4,4.857,5191.0,no
29,0,nonexistent,-36.4,4.857,5191.0,no
30,0,nonexistent,-36.4,4.857,5191.0,no
31,0,nonexistent,-36.4,4.857,5191.0,no
32,0,nonexistent,-36.4,4.857,5191.0,no
33,0,nonexistent,-36.4,4.857,5191.0,no
34,0,nonexistent,-36.4,4.857,5191.0,no
35,0,nonexistent,-36.4,4.857,5191.0,no
36,0,nonexistent,-36.4,4.857,5191.0,no
37,0,nonexistent,-36.4,4.857,5191.0,no
38,0,nonexistent,-36.4,4.857,5191.0,no
39,0,nonexistent,-36.4,4.857,5191.0,no
40,0,nonexistent,-36.4,4.857,5191.0,no
41,0,nonexistent,-36.4,4.857,5191.0,no
42,0,nonexistent,-36.4,4.857,5191.0,no
43,0,nonexistent,-36.4,4.857,5191.0,no
44,0,nonexistent,-36.4,4.857,5191.0,no
45,0,nonexistent,-36.4,4.857,5191.0,no
46,0,nonexistent,-36.4,4.857,5191.0,no
47,0,nonexistent,-36.4,4.857,5191.0,no
48,0,nonexistent,-36.4,4.857,5191.0,no
49,0,nonexistent,-36.4,4.857,5191.0,no
50,0,nonexistent,-36.4,4.857,5191.0,no
51,0,nonexistent,-36.4,4.857,5191.0,no
52,0,nonexistent,-36.4,4.857,5191.0,no
53,0,nonexistent,-36.4,4.857,5191.0,no
54,0,nonexistent,-36.4,4.857,5191.0,no
55,0,nonexistent,-36.4,4.857,5191.0,no
56,0,nonexistent,-36.4,4.857,5191.0,no
57,0,nonexistent,-36.4,4.857,5191.0,no
58,0,nonexistent,-36.4,4.857,5191.0,no
59,0,nonexistent,-36.4,4.857,5191.0,no
60,0,nonexistent,-36.4,4.857,5191.0,no
61,0,nonexistent,-36.4,4.857,5191.0,no
62,0,nonexistent,-36.4,4.857,5191.0,no
63,0,nonexistent,-36.4,4.857,5191.0,no
64,0,nonexistent,-36.4,4.857,5191.0,no
65,0,nonexistent,-36.4,4.857,5191.0,no
66,0,nonexistent,-36.4,4.857,5191.0,no
67,0,nonexistent,-36.4,4.857,5191.0,no
68,0,nonexistent,-36.4,4.857,5191.0,no
69,0,nonexistent,-36.4,4.857,5191.0,no
70,0,nonexistent,-36.4,4.857,5191.0,no
71,0,nonexistent,-36.4,4.857,5191.0,no
72,0,nonexistent,-36.4,4.857,5191.0,no
73,0,nonexistent,-36.4,4.857,5191.0,no
74,0,nonexistent,-36.4,4.857,5191.0,no
75,0,nonexistent,-36.4,4.857,5191.0,yes
76,0,nonexistent,-36.4,4.857,5191.0,no
77,0,nonexistent,-36.4,4.857,5191.0,no
78,0,nonexistent,-36.4,4.857,5191.0,no
79,0,nonexistent,-36.4,4.857,5191.0,no
80,0,nonexistent,-36.4,4.857,5191.0,no
81,0,nonexistent,-36.4,4.857,5191.0,no
82,0,nonexistent,-36.4,4.857,5191.0,no
83,0,nonexistent,-36.4,4.857,5191.0,yes
84,0,nonexistent,-36.4,4.857,5191.0,no
85,0,nonexistent,-36.4,4.857,5191.0,no
86,0,nonexistent,-36.4,4.857,5191.0,no
87,0,nonexistent,-36.4,4.857,5191.0,no
88,0,nonexistent,-36.4,4.857,5191.0,yes
89,0,nonexistent,-36.4,4.857,5191.0,no
90,0,nonexistent,-36.4,4.857,5191.0,no
91,0,nonexistent,-36.4,4.857,5191.0,no
92,0,nonexistent,-36.4,4.857,5191.0,no
93,0,nonexistent,-36.4,4.857,5191.0,no
94,0,nonexistent,-36.4,4.857,5191.0,no
95,0,nonexistent,-36.4,4.857,5191.0,no
96,0,nonexistent,-36.4,4.857,5191.0,no
97,0,nonexistent,-36.4,4.857,5191.0,no
98,0,nonexistent,-36.4,4.857,5191.0,no
99,0,nonexistent,-36.4,4.857,5191.0,no
100,0,nonexistent,-36.4,4.857,5191.0,no
101,0,nonexistent,-36.4,4.857,5191.0,no
102,0,nonexistent,-36.4,4.857,5191.0,no
103,0,nonexistent,-36.4,4.857,5191.0,no
104,0,nonexistent,-36.4,4.857,5191.0,no
105,0,nonexistent,-36.4,4.857,5191.0,no
106,0,nonexistent,-36.4,4.857,5191.0,no
107,0,nonexistent,-36.4,4.857,5191.0,no
108,0,nonexistent,-36.4,4.857,5191.0,no
109,0,nonexistent,-36.4,4.857,5191.0,no
110,0,nonexistent,-36.4,4.857,5191.0,no
111,0,nonexistent,-36.4,4.857,5191.0,no
112,0,nonexistent,-36.4,4.857,5191.0,no
113,0,nonexistent,-36.4,4.857,5191.0,no
114,0,nonexistent,-36.4,4.857,5191.0,no
115,0,nonexistent,-36.4,4.857,5191.0,no
116,0,nonexistent,-36.4,4.857,5191.0,no
117,0,nonexistent,-36.4,4.857,5191.0,no
118,0,nonexistent,-36.4,4.857,5191.0,no
119,0,nonexistent,-36.4,4.857,5191.0,no
120,0,nonexistent,-36.4,4.857,5191.0,no
